team,scorer,goals
Afghanistan,Khaibar Amani,2
Albania,Erjon Bogdani,11
Algeria,Islam Slimani,23
American Samoa,Frankie Beauchamp,2
Andorra,Ildefons Lima,6
Angola,Akwá,14
Anguilla,Kenneth Hughes,1
Antigua and Barbuda,Peter Byers,11
Argentina,Lionel Messi,55
Armenia,Henrikh Mkhitaryan,20
Aruba,Maurice Escalona,3
Australia,Tim Cahill,36
Austria,Toni Polster,29
Azerbaijan,Emin Mahmudov,7
Bahamas,Lesly St. Fleur,6
Bahrain,Ismail Abdullatif,16
Bangladesh,Alfaz Ahmed,3
Barbados,Jerry Alexander,7
Belarus,Sergei Kornilenko,10
Belgium,Romelu Lukaku,60
Belize,Deon McCaulay,18
Benin,Razak Omotoyossi,13
Bermuda,John Barry Nusum,12
Bhutan,Chencho Gyeltshen,4
Bolivia,Marcelo Martins Moreno,25
Bosnia and Herzegovina,Edin Džeko,50
Botswana,Diphetogo Selolwane,5
Brazil,Ronaldo,39
British Virgin Islands,Avondale Williams,3
Brunei,Razimie Ramlli,2
Bulgaria,Dimitar Berbatov,28
Burkina Faso,Moumouni Dagano,19
Burundi,Cédric Amissi,4
Cambodia,Doeur Sokhom,3
Cameroon,Samuel Eto'o,40
Canada,Cyle Larin,20
Cape Verde,Arlindo Gomes Semedo,5
Cayman Islands,Mark Ebanks,4
Central African Republic,Foxi Kéthévoama,2
Chad,Francis Oumar,3
Chile,Alexis Sánchez,30
China PR,Wu Lei,17
Colombia,James Rodríguez,20
Comoros,Ahmed Mogni,2
Congo,Jean-Michel M'Bono,6
Cook Islands,Taylor Saghabi,4
Costa Rica,Paulo Wanchope,37
Croatia,Davor Šuker,31
Cuba,Lester Moré,14
Curaçao,Rocky Siberie,7
Cyprus,Michalis Konstantinou,22
Czech Republic,Jan Koller,33
Czechoslovakia,Zdeněk Nehoda,16
DR Congo,Dieumerci Mbokani,15
Denmark,Jon Dahl Tomasson,36
Djibouti,Abdi Idleh Hamza,1
Dominica,Vincent Casimir,3
Dominican Republic,Erick Ozuna,5
Ecuador,Agustín Delgado,23
Egypt,Hossam Hassan,20
El Salvador,Raúl Díaz Arce,20
England,Harry Kane,58
Equatorial Guinea,Emilio Nsue,8
Eritrea,Abraham Tedros,1
Estonia,Andres Oper,18
Eswatini,Sandile Hlatjwako,3
Ethiopia,Mengistu Worku,11
Faroe Islands,Klæmint Olsen,8
Fiji,Esala Masi,14
Finland,Teemu Pukki,31
France,Kylian Mbappé,38
French Guiana,Roy Contout,1
Gabon,Pierre-Emerick Aubameyang,13
Gambia,Ablie Jallow,3
Georgia,Shota Arveladze,19
German DR,Joachim Streich,25
Germany,Miroslav Klose,48
Ghana,Asamoah Gyan,24
Gibraltar,Lee Casciaro,3
Greece,Angelos Charisteas,20
Grenada,Ricky Charles,8
Guadeloupe,Matthias Phaëton,3
Guam,Jason Cunliffe,3
Guatemala,Carlos Ruiz,47
Guinea,Pascal Feindouno,19
Guinea-Bissau,Joseph Mendes,4
Guyana,Neil Danns,5
Haiti,Golman Pierre,15
Honduras,Carlos Pavón,34
Hong Kong,Lau Wing Yip,9
Hungary,Ferenc Bene,25
Iceland,Gylfi Sigurðsson,24
India,Sunil Chhetri,13
Indonesia,Ilham Jaya Kesuma,5
Iran,Ali Daei,49
Iraq,Younis Mahmoud,20
Israel,Eran Zahavi,31
Italy,Filippo Inzaghi,22
Ivory Coast,Didier Drogba,31
Jamaica,Luton Shelton,11
Japan,Kazuyoshi Miura,30
Jordan,Hassan Abdel-Fattah,17
Kazakhstan,Bakhtiyar Zaynutdinov,11
Kenya,Dennis Oliech,16
Kosovo,Vedat Muriqi,18
