Year,Country,Goals,Name
1930,Uruguay,8,Guillermo Stábile
1934,Italy,5,Oldřich Nejedlý
1938,France,7,Leônidas da Silva
1950,Brazil,9,Ademir
1954,Switzerland,11,Sandor Kocsis
1958,Sweden,13,Just Fontaine
1962,Chile,4,Garrincha
1962,Chile,4,Vavá
1962,Chile,4,Flórián Albert
1962,Chile,4,Valentin Ivanov
1962,Chile,4,Dražan Jerković
1962,Chile,4,Leonel Sánchez
1966,England,9,Eusébio
1970,Mexico,10,Gerd Müller
1974,Germany,7,Grzegorz Lato
1978,Argentina,6,Mario Alberto Kempes
1982,Spain,6,Paolo Rossi
1986,Mexico,6,Gary Lineker
1990,Italy,6,Salvatore Schillaci
1994,USA,6,Oleg Salenko
1994,USA,6,Hristo Stoitchkov
1998,France,6,Davor Šuker
2002,South Korea/Japan,8,Ronaldo
2006,Germany,5,Miroslav Klose
2010,South Africa,5,Thomas Müller
2010,South Africa,5,David Villa
2010,South Africa,5,Wesley Sneijder
2010,South Africa,5,Diego Forlán
2014,Brazil,6,James Rodríguez
2018,Russia,6,Harry Kane
2022,Qtar,7,Kylian Mbappé
